Id,Name,CreatedDate,UpdatedDate
1,Nigeria,1900-01-01,1900-01-01
2,Afghanistan,1900-01-01,1900-01-01
3,Antigua and Barbuda,1900-01-01,1900-01-01
4,Anguilla,1900-01-01,1900-01-01
5,Albania,1900-01-01,1900-01-01
6,Armenia,1900-01-01,1900-01-01
7,Netherlands Antilles,1900-01-01,1900-01-01
8,Angola,1900-01-01,1900-01-01
9,Antarctica,1900-01-01,1900-01-01
10,Argentina,1900-01-01,1900-01-01
11,American Samoa,1900-01-01,1900-01-01
12,Austria,1900-01-01,1900-01-01
13,Australia,1900-01-01,1900-01-01
14,Aruba,1900-01-01,1900-01-01
15,Azerbaijan,1900-01-01,1900-01-01
16,Bosnia and Herzegovina,1900-01-01,1900-01-01
17,Barbados,1900-01-01,1900-01-01
18,Bangladesh,1900-01-01,1900-01-01
19,Belgium,1900-01-01,1900-01-01
20,Burkina Faso,1900-01-01,1900-01-01
21,Bulgaria,1900-01-01,1900-01-01
22,Bahrain,1900-01-01,1900-01-01
23,Burundi,1900-01-01,1900-01-01
24,Benin,1900-01-01,1900-01-01
25,Bermuda,1900-01-01,1900-01-01
26,Brunei,1900-01-01,1900-01-01
27,Bolivia,1900-01-01,1900-01-01
28,Brazil,1900-01-01,1900-01-01
29,Bahamas,1900-01-01,1900-01-01
30,Bhutan,1900-01-01,1900-01-01
31,Bouvet Island,1900-01-01,1900-01-01
32,Botswana,1900-01-01,1900-01-01
33,Belarus,1900-01-01,1900-01-01
34,Belize,1900-01-01,1900-01-01
35,Canada,1900-01-01,1900-01-01
36,Cocos [Keeling] Islands,1900-01-01,1900-01-01
37,Congo [DRC],1900-01-01,1900-01-01
38,Central African Republic,1900-01-01,1900-01-01
39,Congo [Republic],1900-01-01,1900-01-01
40,Switzerland,1900-01-01,1900-01-01
41,Côte d'Ivoire,1900-01-01,1900-01-01
42,Cook Islands,1900-01-01,1900-01-01
43,Chile,1900-01-01,1900-01-01
44,Cameroon,1900-01-01,1900-01-01
45,China,1900-01-01,1900-01-01
46,Colombia,1900-01-01,1900-01-01
47,Costa Rica,1900-01-01,1900-01-01
48,Cuba,1900-01-01,1900-01-01
49,Cape Verde,1900-01-01,1900-01-01
50,Christmas Island,1900-01-01,1900-01-01
51,Cyprus,1900-01-01,1900-01-01
52,Czech Republic,1900-01-01,1900-01-01
53,Germany,1900-01-01,1900-01-01
54,Djibouti,1900-01-01,1900-01-01
55,Denmark,1900-01-01,1900-01-01
56,Dominica,1900-01-01,1900-01-01
57,Dominican Republic,1900-01-01,1900-01-01
58,Algeria,1900-01-01,1900-01-01
59,Ecuador,1900-01-01,1900-01-01
60,Estonia,1900-01-01,1900-01-01
61,Egypt,1900-01-01,1900-01-01
62,Western Sahara,1900-01-01,1900-01-01
63,Eritrea,1900-01-01,1900-01-01
64,Spain,1900-01-01,1900-01-01
65,Ethiopia,1900-01-01,1900-01-01
66,Finland,1900-01-01,1900-01-01
67,Fiji,1900-01-01,1900-01-01
68,Falkland Islands [Islas Malvinas],1900-01-01,1900-01-01
69,Micronesia,1900-01-01,1900-01-01
70,Faroe Islands,1900-01-01,1900-01-01
71,France,1900-01-01,1900-01-01
72,Gabon,1900-01-01,1900-01-01
73,United Kingdom,1900-01-01,1900-01-01
74,Grenada,1900-01-01,1900-01-01
75,Georgia,1900-01-01,1900-01-01
76,French Guiana,1900-01-01,1900-01-01
77,Guernsey,1900-01-01,1900-01-01
78,Ghana,1900-01-01,1900-01-01
79,Gibraltar,1900-01-01,1900-01-01
80,Greenland,1900-01-01,1900-01-01
81,Gambia,1900-01-01,1900-01-01
82,Guinea,1900-01-01,1900-01-01
83,Guadeloupe,1900-01-01,1900-01-01
84,Equatorial Guinea,1900-01-01,1900-01-01
85,Greece,1900-01-01,1900-01-01
86,South Georgia and the South Sandwich Islands,1900-01-01,1900-01-01
87,Guatemala,1900-01-01,1900-01-01
88,Guam,1900-01-01,1900-01-01
89,Guinea-Bissau,1900-01-01,1900-01-01
90,Guyana,1900-01-01,1900-01-01
91,Gaza Strip,1900-01-01,1900-01-01
92,Hong Kong,1900-01-01,1900-01-01
93,Heard Island and McDonald Islands,1900-01-01,1900-01-01
94,Honduras,1900-01-01,1900-01-01
95,Croatia,1900-01-01,1900-01-01
96,Haiti,1900-01-01,1900-01-01
97,Hungary,1900-01-01,1900-01-01
98,Indonesia,1900-01-01,1900-01-01
99,Ireland,1900-01-01,1900-01-01
100,Israel,1900-01-01,1900-01-01
101,Isle of Man,1900-01-01,1900-01-01
102,India,1900-01-01,1900-01-01
103,British Indian Ocean Territory,1900-01-01,1900-01-01
104,Iraq,1900-01-01,1900-01-01
105,Iran,1900-01-01,1900-01-01
106,Iceland,1900-01-01,1900-01-01
107,Italy,1900-01-01,1900-01-01
108,Jersey,1900-01-01,1900-01-01
109,Jamaica,1900-01-01,1900-01-01
110,Jordan,1900-01-01,1900-01-01
111,Japan,1900-01-01,1900-01-01
112,Kenya,1900-01-01,1900-01-01
113,Kyrgyzstan,1900-01-01,1900-01-01
114,Cambodia,1900-01-01,1900-01-01
115,Kiribati,1900-01-01,1900-01-01
116,Comoros,1900-01-01,1900-01-01
117,Saint Kitts and Nevis,1900-01-01,1900-01-01
118,North Korea,1900-01-01,1900-01-01
119,South Korea,1900-01-01,1900-01-01
120,Kuwait,1900-01-01,1900-01-01
121,Cayman Islands,1900-01-01,1900-01-01
122,Kazakhstan,1900-01-01,1900-01-01
123,Laos,1900-01-01,1900-01-01
124,Lebanon,1900-01-01,1900-01-01
125,Saint Lucia,1900-01-01,1900-01-01
126,Liechtenstein,1900-01-01,1900-01-01
127,Sri Lanka,1900-01-01,1900-01-01
128,Liberia,1900-01-01,1900-01-01
129,Lesotho,1900-01-01,1900-01-01
130,Lithuania,1900-01-01,1900-01-01
131,Luxembourg,1900-01-01,1900-01-01
132,Latvia,1900-01-01,1900-01-01
133,Libya,1900-01-01,1900-01-01
134,Morocco,1900-01-01,1900-01-01
135,Monaco,1900-01-01,1900-01-01
136,Moldova,1900-01-01,1900-01-01
137,Montenegro,1900-01-01,1900-01-01
138,Madagascar,1900-01-01,1900-01-01
139,Marshall Islands,1900-01-01,1900-01-01
140,Macedonia [FYROM],1900-01-01,1900-01-01
141,Mali,1900-01-01,1900-01-01
142,Myanmar [Burma],1900-01-01,1900-01-01
143,Mongolia,1900-01-01,1900-01-01
144,Macau,1900-01-01,1900-01-01
145,Northern Mariana Islands,1900-01-01,1900-01-01
146,Martinique,1900-01-01,1900-01-01
147,Mauritania,1900-01-01,1900-01-01
148,Montserrat,1900-01-01,1900-01-01
149,Malta,1900-01-01,1900-01-01
150,Mauritius,1900-01-01,1900-01-01
151,Maldives,1900-01-01,1900-01-01
152,Malawi,1900-01-01,1900-01-01
153,Mexico,1900-01-01,1900-01-01
154,Malaysia,1900-01-01,1900-01-01
155,Mozambique,1900-01-01,1900-01-01
156,Namibia,1900-01-01,1900-01-01
157,New Caledonia,1900-01-01,1900-01-01
158,Niger,1900-01-01,1900-01-01
159,Norfolk Island,1900-01-01,1900-01-01
160,United Arab Emirates,1900-01-01,1900-01-01
161,Nicaragua,1900-01-01,1900-01-01
162,Netherlands,1900-01-01,1900-01-01
163,Norway,1900-01-01,1900-01-01
164,Nepal,1900-01-01,1900-01-01
165,Nauru,1900-01-01,1900-01-01
166,Niue,1900-01-01,1900-01-01
167,New Zealand,1900-01-01,1900-01-01
168,Oman,1900-01-01,1900-01-01
169,Panama,1900-01-01,1900-01-01
170,Peru,1900-01-01,1900-01-01
171,French Polynesia,1900-01-01,1900-01-01
172,Papua New Guinea,1900-01-01,1900-01-01
173,Philippines,1900-01-01,1900-01-01
174,Pakistan,1900-01-01,1900-01-01
175,Poland,1900-01-01,1900-01-01
176,Saint Pierre and Miquelon,1900-01-01,1900-01-01
177,Pitcairn Islands,1900-01-01,1900-01-01
178,Puerto Rico,1900-01-01,1900-01-01
179,Palestinian Territories,1900-01-01,1900-01-01
180,Portugal,1900-01-01,1900-01-01
181,Palau,1900-01-01,1900-01-01
182,Paraguay,1900-01-01,1900-01-01
183,Qatar,1900-01-01,1900-01-01
184,Réunion,1900-01-01,1900-01-01
185,Romania,1900-01-01,1900-01-01
186,Serbia,1900-01-01,1900-01-01
187,Russia,1900-01-01,1900-01-01
188,Rwanda,1900-01-01,1900-01-01
189,Saudi Arabia,1900-01-01,1900-01-01
190,Solomon Islands,1900-01-01,1900-01-01
191,Seychelles,1900-01-01,1900-01-01
192,Sudan,1900-01-01,1900-01-01
193,Sweden,1900-01-01,1900-01-01
194,Singapore,1900-01-01,1900-01-01
195,Saint Helena,1900-01-01,1900-01-01
196,Slovenia,1900-01-01,1900-01-01
197,Svalbard and Jan Mayen,1900-01-01,1900-01-01
198,Slovakia,1900-01-01,1900-01-01
199,Sierra Leone,1900-01-01,1900-01-01
200,San Marino,1900-01-01,1900-01-01
201,Senegal,1900-01-01,1900-01-01
202,Somalia,1900-01-01,1900-01-01
203,Suriname,1900-01-01,1900-01-01
204,São Tomé and Príncipe,1900-01-01,1900-01-01
205,El Salvador,1900-01-01,1900-01-01
206,Syria,1900-01-01,1900-01-01
207,Swaziland,1900-01-01,1900-01-01
208,Turks and Caicos Islands,1900-01-01,1900-01-01
209,Chad,1900-01-01,1900-01-01
210,French Southern Territories,1900-01-01,1900-01-01
211,Togo,1900-01-01,1900-01-01
212,Thailand,1900-01-01,1900-01-01
213,Tajikistan,1900-01-01,1900-01-01
214,Tokelau,1900-01-01,1900-01-01
215,Timor-Leste,1900-01-01,1900-01-01
216,Turkmenistan,1900-01-01,1900-01-01
217,Tunisia,1900-01-01,1900-01-01
218,Tonga,1900-01-01,1900-01-01
219,Turkey,1900-01-01,1900-01-01
220,Trinidad and Tobago,1900-01-01,1900-01-01
221,Tuvalu,1900-01-01,1900-01-01
222,Taiwan,1900-01-01,1900-01-01
223,Tanzania,1900-01-01,1900-01-01
224,Ukraine,1900-01-01,1900-01-01
225,Uganda,1900-01-01,1900-01-01
226,U.S. Minor Outlying Islands,1900-01-01,1900-01-01
227,United States,1900-01-01,1900-01-01
228,Uruguay,1900-01-01,1900-01-01
229,Uzbekistan,1900-01-01,1900-01-01
230,Vatican City,1900-01-01,1900-01-01
231,Saint Vincent and the Grenadines,1900-01-01,1900-01-01
232,Venezuela,1900-01-01,1900-01-01
233,British Virgin Islands,1900-01-01,1900-01-01
234,U.S. Virgin Islands,1900-01-01,1900-01-01
235,Vietnam,1900-01-01,1900-01-01
236,Vanuatu,1900-01-01,1900-01-01
237,Wallis and Futuna,1900-01-01,1900-01-01
238,Samoa,1900-01-01,1900-01-01
239,Kosovo,1900-01-01,1900-01-01
240,Yemen,1900-01-01,1900-01-01
241,Mayotte,1900-01-01,1900-01-01
242,South Africa,1900-01-01,1900-01-01
243,Zambia,1900-01-01,1900-01-01
244,Zimbabwe,1900-01-01,1900-01-01
